,Rank,Country,Population18,Population17,Growth Rate,Area,2018 Density,%
0,1,China,1415045.928,1409517.397,1.0039222864590158,9706961,145.77641014525557,0.0
1,2,India,1354051.854,1339180.127,1.011105098336036,3287590,411.8676154873328,0.0
2,3,United States,326766.748,324459.463,1.0071111656866671,9372610,34.8640077843845,0.0
3,4,Indonesia,266794.98,263991.379,1.010620047558447,1904569,140.08155125910378,0.0
4,5,Brazil,210867.954,209288.278,1.007547847471897,8515767,24.76206241903988,0.0
5,6,Pakistan,200813.818,197015.955,1.019276931150069,881912,227.7027844047932,0.0
6,7,Nigeria,195875.237,190886.311,1.0261355881093013,923768,212.03942656597758,0.0
7,8,Bangladesh,166368.149,164669.751,1.0103139647062442,147570,1127.3846242461204,0.0
8,9,Russia,143964.709,143989.75400000002,0.99982606401286,17098242,8.419854450533569,0.0
9,10,Mexico,130759.074,129163.276,1.0123548894811247,1964375,66.56523016226537,0.0
10,11,Japan,127185.332,127484.45,0.9976536903128184,377930,336.5314529145609,0.0
11,12,Ethiopia,107534.882,104957.438,1.024557039968906,1104300,97.37832291949651,0.0
12,13,Philippines,106512.074,104918.09,1.0151926517152572,342353,311.1176884677512,0.0
13,14,Egypt,99375.741,97553.151,1.0186830459223195,1002450,99.13286547957505,0.0
14,15,Vietnam,96491.146,95540.8,1.009947017399896,331212,291.327445865488,0.0
15,16,DR Congo,84004.989,81339.988,1.032763725020466,2344858,35.825192399710346,0.0
16,17,Germany,82293.457,82114.224,1.0021827278060862,357114,230.44029917617343,0.0
17,18,Iran,82011.735,81162.788,1.0104598057917873,1648195,49.75851461750582,0.0
18,19,Turkey,81916.871,80745.02,1.0145129817293994,783562,104.54421092396008,0.0
19,20,Thailand,69183.173,69037.51299999999,1.002109867428162,513120,134.8284475366386,0.0
20,21,United Kingdom,66573.504,66181.585,1.005921873886822,242900,274.0778262659531,0.0
21,22,France,65233.27099999999,64979.548,1.003904659355279,551695,118.24154831927059,0.0
22,23,Italy,59290.96900000001,59359.9,0.9988387615208248,301336,196.7603240236812,0.0
23,24,Tanzania,59091.392,57310.019,1.031083099100002,945087,62.52481729195301,0.0
24,25,South Africa,57398.421,56717.156,1.0120116213161323,1221037,47.00792932564696,0.0
25,26,Myanmar,53855.735,53370.609,1.0090897594966548,676578,79.60018652690452,0.0
26,27,South Korea,51164.435,50982.212,1.0035742466411617,100210,510.57214848817483,0.0
27,28,Kenya,50950.879,49699.862,1.0251714381017798,580367,87.79079272253591,0.0
28,29,Colombia,49464.683,49065.615,1.0081333536734431,1141748,43.323643220745744,0.0
29,30,Spain,46397.45200000001,46354.321,1.0009304634189338,505992,91.69601890938988,0.0
30,31,Argentina,44688.864,44271.041,1.0094378399640525,2780400,16.07281829952525,0.0
31,32,Uganda,44270.563,42862.958,1.0328396607625632,241550,183.2770151107431,0.0
32,33,Ukraine,44009.21400000001,44222.947,0.9951669209200374,603500,72.92330405965204,0.0
33,34,Algeria,42008.054,41318.142,1.01669755624539,2381741,17.63754077374492,0.0
34,35,Sudan,41511.526,40533.33,1.024133126984632,1886068,22.009559570492687,0.0
35,36,Iraq,39339.753,38274.618,1.0278287558611297,438317,89.75183029633804,0.0
36,37,Poland,38104.832,38170.712,0.9982740693964524,312679,121.86565775124011,0.0
37,38,Canada,36953.765,36624.199,1.0089985858803356,9984670,3.701050209971887,0.0
38,39,Afghanistan,36373.176,35530.081,1.0237290480705632,652230,55.767407202980536,0.0
39,40,Morocco,36191.805,35739.58,1.012653338399612,446550,81.04759825327511,0.0
40,41,Saudi Arabia,33554.343,32938.213,1.0187056292337415,2149690,15.608921751508355,0.0
41,42,Peru,32551.815,32165.485,1.0120107002894565,1285216,25.327894299479624,0.0
42,43,Venezuela,32381.221,31977.065,1.012638933560663,916445,35.333512649422495,0.0
43,44,Uzbekistan,32364.996,31910.641,1.0142383539083404,447400,72.34017881090745,0.0
44,45,Malaysia,32042.458,31624.264,1.0132238334463688,330803,96.8626584402197,0.0
45,46,Angola,30774.205,29784.193,1.0332395106357255,1246700,24.684531162268392,0.0
46,47,Mozambique,30528.673,29668.834,1.0289812198214463,801590,38.08514702029716,0.0
47,48,Nepal,29624.035,29304.998,1.0108867777435098,147181,201.27621771831963,0.0
48,49,Ghana,29463.643,28833.629,1.0218499724748489,238533,123.52019636695971,0.0
49,50,Yemen,28915.284,28250.42,1.023534658953743,527968,54.76711467361658,0.0
50,51,Madagascar,26262.81,25570.895,1.027058693096194,587041,44.73760776504537,0.0
51,52,North Korea,25610.672,25490.965,1.0046960560339713,120538,212.46969420431734,0.0
52,53,Ivory Coast,24905.843,24294.75,1.0251532944360406,322463,77.2362813718163,0.0
53,54,Australia,24772.247000000007,24450.561,1.0131565897404151,7692024,3.2205108824413453,0.0
54,55,Cameroon,24678.234,24053.727000000006,1.0259630035711305,475442,51.90587705755907,0.0
55,56,Taiwan,23694.089,23626.456,1.0028625960660371,36193,654.6594369076894,0.0
56,57,Niger,22311.375,21477.348,1.03883286707465,1267000,17.609609313338595,0.0
57,58,Sri Lanka,20950.041,20876.917,1.0035026244536012,65610,319.31170553269317,0.0
58,59,Burkina Faso,19751.651,19193.382,1.029086536182107,272967,72.3591166697806,0.0
59,60,Romania,19580.634,19679.306,0.9949860020470233,238391,82.13663267489125,0.0
60,61,Malawi,19164.728,18622.104,1.0291387052719714,118484,161.74950204246989,0.0
61,62,Mali,19107.706,18541.98,1.0305105495745333,1240192,15.407054714108787,0.0
62,63,Kazakhstan,18403.86,18204.499,1.010951193987816,2724900,6.753957943410767,0.0
63,64,Syria,18284.407,18269.868,1.0007957911901717,185180,98.73856247974943,0.0
64,65,Chile,18197.209,18054.726,1.0078917287362874,756102,24.067135121980897,0.0
65,66,Zambia,17609.178,17094.13,1.03013010899063,752612,23.397418590189897,0.0
66,67,Guatemala,17245.346,16913.503,1.0196200042061068,108889,158.37546492299498,0.0
67,68,Netherlands,17084.459,17035.938000000002,1.002848155469925,41850,408.23080047789733,0.0
68,69,Zimbabwe,16913.261000000002,16529.904,1.0231917257353704,390757,43.28332185987712,0.0
69,70,Ecuador,16863.425,16624.858,1.014350017305411,276841,60.91375554921417,0.0
70,71,Senegal,16294.27,15850.567,1.0279928787405523,196722,82.82891593212756,0.0
71,72,Cambodia,16245.729,16005.373,1.0150172070341628,181035,89.73805617698234,0.0
72,73,Chad,15353.184,14899.994,1.0304154484894423,1284000,11.957308411214953,0.0
73,74,Somalia,15181.925,14742.523,1.0298050747487386,637657,23.80892078343059,0.0
74,75,Guinea,13052.608,12717.176,1.0263762961210885,245857,53.09024351553952,0.0
75,76,South Sudan,12919.053,12575.714,1.0273017500238952,619745,20.845755915739538,0.0
76,77,Rwanda,12501.156,12208.407,1.0239792955788585,26338,474.64332903029845,0.0
77,78,Tunisia,11659.174,11532.127,1.0110167881432452,163610,71.26198887598558,0.0
78,79,Belgium,11498.518999999998,11429.336,1.0060531075471049,30528,376.654841457023,0.0
79,80,Cuba,11489.082,11484.636,1.0003871258958492,109884,104.55645953915037,0.0
80,81,Benin,11485.674,11175.692,1.0277371638373711,112622,101.98428371010992,0.0
81,82,Burundi,11216.45,10864.245,1.0324187276704455,27834,402.9765754113673,0.0
82,83,Bolivia,11215.674,11051.6,1.0148461761192948,1098581,10.209237188700696,0.0
83,84,Greece,11142.161,11159.773,0.998421831698548,131990,84.41670581104628,0.0
84,85,Haiti,11112.945,10981.229,1.0119946501434405,27750,400.46648648648653,0.0
85,86,Dominican Republic,10882.996,10766.998,1.0107734765066363,48671,223.60329559696743,0.0
86,87,Czech Republic,10625.25,10618.303,1.000654247670273,78865,134.72706523806505,0.0
87,88,Portugal,10291.196,10329.506,0.9962912069560732,92090,111.75150396351394,0.0
88,89,Sweden,9982.709,9910.701,1.0072656818120134,450295,22.16926459321112,0.0
89,90,Azerbaijan,9923.914,9827.589,1.009801488442384,86600,114.59484988452655,0.0
90,91,Jordan,9903.802,9702.353,1.0207629015353286,89342,110.85270085737949,0.0
91,92,Hungary,9688.847,9721.559,0.9966351075995116,93028,104.14979361052586,0.0
92,93,United Arab Emirates,9541.615,9400.145,1.0150497678493258,83600,114.13415071770336,0.0
93,94,Belarus,9452.113,9468.338,0.9982863940852136,207600,45.53040944123315,0.0
94,95,Honduras,9417.167,9265.067,1.016416502978338,112492,83.71410411407034,0.0
95,96,Tajikistan,9107.211,8921.343,1.020834082940203,143100,63.64228511530398,0.0
96,97,Serbia,8762.027,8790.574,0.9967525442593396,88361,99.16170029764262,0.0
97,98,Austria,8751.82,8735.453000000001,1.0018736292210602,83871,104.34858294285273,0.0
98,99,Switzerland,8544.034,8476.005,1.0080260688850466,41284,206.95751380680167,0.0
99,100,Israel,8452.841,8321.57,1.0157747876903036,20770,406.9735676456428,0.0
100,101,Papua New Guinea,8418.346,8251.162,1.0202618734185558,462840,18.188458214501768,0.0
101,102,Togo,7990.925999999998,7797.694,1.0247806595129276,56785,140.72247952804435,0.0
102,103,Sierra Leone,7719.729,7557.211999999998,1.0215048883106628,71740,107.60703930861445,0.0
103,104,Hong Kong,7428.887,7364.883000000002,1.0086904299769597,1104,6729.064311594203,0.0
104,105,Bulgaria,7036.848000000001,7084.571,0.9932638123042314,110879,63.46420873204124,0.0
105,106,Laos,6961.21,6858.16,1.0150258961587364,236800,29.397001689189192,0.0
106,107,Paraguay,6896.908,6811.297,1.0125689718125641,406752,16.956051844858784,0.0
107,108,Libya,6470.956,6374.616,1.0151130672027928,1759540,3.6776407470134242,0.0
108,109,El Salvador,6411.558000000001,6377.853,1.0052846937676363,21041,304.7173613421416,0.0
109,110,Nicaragua,6284.757,6217.581,1.0108042018270451,130373,48.20597056138924,0.0
110,111,Kyrgyzstan,6132.932,6045.116999999998,1.0145266005604194,199951,30.672174682797284,0.0
111,112,Lebanon,6093.509,6082.357,1.0018334997436027,10452,582.9993302717182,0.0
112,113,Turkmenistan,5851.4659999999985,5758.075,1.016219135735467,488100,11.988252407293587,0.0
113,114,Singapore,5791.901,5708.844,1.0145488298506669,710,8157.60704225352,0.0
114,115,Denmark,5754.356,5733.551,1.0036286413079782,43094,133.53032904812736,0.0
115,116,Finland,5542.517,5523.231,1.003491796739988,338424,16.377434815497722,0.0
116,117,Slovakia,5449.816,5447.661999999998,1.0003953989803334,49037,111.13681505801742,0.0
117,118,Republic of the Congo,5399.895,5260.75,1.0264496507152023,342000,15.789166666666668,0.0
118,119,Norway,5353.363,5305.383000000002,1.0090436449168705,323802,16.532828703961062,0.0
119,120,Eritrea,5187.948,5068.831,1.0234998957353283,117600,44.115204081632655,0.0
120,121,Palestine,5052.776,4920.724,1.0268358883774014,6220,812.3434083601286,0.0
121,122,Costa Rica,4953.199000000001,4905.769,1.0096682090004647,51100,96.93148727984348,0.0
122,123,Liberia,4853.516,4731.906,1.0257000033390349,111369,43.580493674182215,0.0
123,124,Oman,4829.946,4636.262,1.041775896185332,309500,15.605641357027464,0.0
124,125,Ireland,4803.748,4761.657,1.008839569922823,70273,68.35837377086506,0.0
125,126,New Zealand,4749.598,4705.818,1.0093033772236837,270467,17.5607301445278,0.0
126,127,Central African Republic,4737.423,4659.08,1.0168151222988229,622984,7.604405570608555,0.0
127,128,Mauritania,4540.068,4420.184,1.027121947864614,1030700,4.404839429513922,0.0
128,129,Kuwait,4197.128,4136.528,1.0146499673155844,17818,235.55550566842518,0.0
129,130,Croatia,4164.7829999999985,4189.353,0.994135132561042,56594,73.59053963317666,0.0
130,131,Panama,4162.618,4098.587,1.0156227011894583,75417,55.19469085219512,0.0
131,132,Moldova,4041.065,4051.212,0.9974953174506791,33846,119.39564498020442,0.0
132,133,Georgia,3907.131,3912.061,0.9987397947015652,69700,56.056398852223815,0.0
133,134,Puerto Rico,3659.007,3663.131,0.9988741871366328,8870,412.5148816234498,0.0
134,135,Bosnia and Herzegovina,3503.554,3507.0170000000007,0.9990125511225066,51209,68.41676267843543,0.0
135,136,Uruguay,3469.551,3456.75,1.00370318941202,181034,19.165189964316095,0.0
136,137,Mongolia,3121.772,3075.647,1.0149968445663629,1564110,1.99587752779536,0.0
137,138,Albania,2934.363,2930.187,1.0014251650150656,28748,102.07190065395855,0.0
138,139,Armenia,2934.152,2930.45,1.0012632872084493,29743,98.65016978784924,0.0
139,140,Jamaica,2898.677,2890.2990000000004,1.0028986620415394,10991,263.73187153125286,0.0
140,141,Lithuania,2876.475,2890.297,0.9952177924967572,65300,44.050153139356816,0.0
141,142,Qatar,2694.849,2639.211,1.021081300434107,11586,232.59528741584668,0.0
142,143,Namibia,2587.801,2533.794,1.02131467672589,825615,3.134391938130969,0.0
143,144,Botswana,2333.201,2291.661,1.0181265902766596,582000,4.008936426116838,0.0
144,145,Lesotho,2263.01,2233.339,1.013285488678611,30355,74.55147422170977,0.0
145,146,Gambia,2163.765,2100.568,1.0300856720658411,10689,202.42913275329778,0.0
146,147,Macedonia,2085.051,2083.16,1.0009077555252597,25713,81.08937113522343,0.0
147,148,Slovenia,2081.26,2079.976,1.000617314815171,20273,102.66166822867856,0.0
148,149,Gabon,2067.561,2025.137,1.0209487061862974,267668,7.724348820180224,0.0
149,150,Latvia,1929.938,1949.67,0.9898793129093639,64559,29.894174321163586,0.0
150,151,Guinea-Bissau,1907.268,1861.283,1.0247060763999885,36125,52.79634602076124,0.0
151,152,Bahrain,1566.993,1492.5839999999996,1.0498524706147192,765,2048.356862745098,0.0
152,153,Swaziland,1391.385,1367.254,1.0176492443978955,17364,80.1304422944022,0.0
153,154,Trinidad and Tobago,1372.598,1369.125,1.002536656623756,5130,267.56296296296296,0.0
154,155,Timor-Leste,1324.094,1296.311,1.0214323568958374,14874,89.02070727443864,0.0
155,156,Equatorial Guinea,1313.894,1267.689,1.0364482140335682,28051,46.83947096360201,0.0
156,157,Estonia,1306.788,1309.632,0.9978283975956604,45227,28.893979260176444,0.0
157,158,Mauritius,1268.315,1265.138,1.0025111885027562,2040,621.7230392156863,0.0
158,159,Cyprus,1189.085,1179.5510000000004,1.0080827365667104,9251,128.53583396389578,0.0
159,160,Djibouti,971.408,956.985,1.0150712916085414,23200,41.871034482758624,0.0
160,161,Fiji,912.241,905.502,1.007442280635493,18272,49.92562390542908,0.0
161,162,Reunion,883.247,876.562,1.0076263858118422,2511,351.7510951812027,0.0
162,163,Comoros,832.347,813.9119999999998,1.022649868781883,1862,447.0177228786251,0.0
163,164,Bhutan,817.054,807.61,1.0116937630787135,38394,21.28077303745377,0.0
164,165,Guyana,782.225,777.8589999999998,1.005612842430312,214969,3.638780475324349,0.0
165,166,Macau,632.418,622.567,1.0158231965394888,30,21080.6,0.0
166,167,Montenegro,629.219,628.96,1.0004117908929029,13812,45.55596582681726,0.0
167,168,Solomon Islands,623.281,611.3430000000002,1.019527499292541,28896,21.569802048726462,0.0
168,169,Luxembourg,590.321,583.455,1.0117678312809042,2586,228.27571539056459,0.0
169,170,Suriname,568.3009999999998,563.4019999999998,1.0086953897927236,163820,3.4690575021364904,0.0
170,171,Western Sahara,567.4209999999998,552.628,1.0267684590719253,266000,2.1331616541353378,0.0
171,172,Cape Verde,553.335,546.388,1.012714408076312,4033,137.20183486238528,0.0
172,173,Guadeloupe,449.173,449.568,0.999121378745818,1628,275.90479115479116,0.0
173,174,Maldives,444.259,436.33,1.018172025760319,300,1480.8633333333332,0.0
174,175,Brunei,434.076,428.697,1.012547323634175,5765,75.29505637467477,0.0
175,176,Malta,432.089,430.835,1.0029106270381931,316,1367.370253164557,0.0
176,177,Bahamas,399.285,395.361,1.0099251064217258,13943,28.63695044108155,0.0
177,178,Martinique,385.065,384.896,1.0004390796474891,1128,341.3696808510638,0.0
178,179,Belize,382.444,374.681,1.0207189582604936,22966,16.652616911956805,0.0
179,180,Iceland,337.78,335.025,1.008223266920379,103000,3.2794174757281547,0.0
180,181,French Guiana,289.763,282.731,1.0248716978329224,83534,3.4688031220820266,0.0
181,182,Barbados,286.388,285.719,1.0023414613658874,430,666.0186046511627,0.0
182,183,French Polynesia,285.8590000000001,283.007,1.010077489249383,4167,68.60067194624432,0.0
183,184,Vanuatu,282.117,276.244,1.021260190266576,12189,23.14521289687423,0.0
184,185,New Caledonia,279.821,276.255,1.0129083636495266,18575,15.064387617765814,0.0
185,186,Mayotte,259.682,253.045,1.0262285364263275,374,694.3368983957221,0.0
